NAME,Type,District,Management,Long,Lat
Shun Lee Tsuen Road Lookout,Lookout,Kwun Tong,Leisure and Cultural Services Department,114.224,22.3272
Kowloon Bay Park,Park,Kwun Tong,Leisure and Cultural Services Department,114.207,22.3269
Jordan Valley Park,Park,Kwun Tong,Leisure and Cultural Services Department,114.221,22.3296
Hong Ning Road Park,Park,Kwun Tong,Leisure and Cultural Services Department,114.224,22.3199
Choi Wing Road Park,Park,Kwun Tong,Leisure and Cultural Services Department,114.219,22.3272
Choi Hei Road Park,Park,Kwun Tong,Leisure and Cultural Services Department,114.216,22.3283
Hiu Kwong Street Park Strip,Park,Kwun Tong,Leisure and Cultural Services Department,114.232,22.3161
Hoi Bun Road Park,Park,Kwun Tong,Leisure and Cultural Services Department,114.216,22.3148
Sau Ming Road Park,Park,Kwun Tong,Leisure and Cultural Services Department,114.23,22.3218
Sau Mau Ping Memorial Park,Park,Kwun Tong,Leisure and Cultural Services Department,114.229,22.3179
Lam Tin Park,Park,Kwun Tong,Leisure and Cultural Services Department,114.241,22.3103
Shun Lee Tsuen Park,Park,Kwun Tong,Leisure and Cultural Services Department,114.224,22.3304
Laguna Park,Park,Kwun Tong,Leisure and Cultural Services Department,114.226,22.3071
Choi Wan Road Sitting-out Area / Pet Garden,Pet Garden,Kwun Tong,Leisure and Cultural Services Department,114.214,22.3276
Kwun Tong Ferry Pier Square,Pet Garden,Kwun Tong,Leisure and Cultural Services Department,114.223,22.308
Sam Ka Tsuen Recreation Ground,Playground,Kwun Tong,Leisure and Cultural Services Department,114.237,22.2942
Kowloon Bay Playground,Playground,Kwun Tong,Leisure and Cultural Services Department,114.21,22.3261
Jordan Valley Playground,Playground,Kwun Tong,Leisure and Cultural Services Department,114.218,22.3247
Kung Lok Road Children's Playground,Playground,Kwun Tong,Leisure and Cultural Services Department,114.219,22.3178
Kung Lok Road Playground,Playground,Kwun Tong,Leisure and Cultural Services Department,114.219,22.3197
Ping Shek Playground,Playground,Kwun Tong,Leisure and Cultural Services Department,114.212,22.3324
On Tak Road Playground,Playground,Kwun Tong,Leisure and Cultural Services Department,114.217,22.3198
Ting On Street Playground,Playground,Kwun Tong,Leisure and Cultural Services Department,114.217,22.3172
Hong Ning Road Children's Playground,Playground,Kwun Tong,Leisure and Cultural Services Department,114.224,22.3144
Hong Ning Road Recreation Ground,Playground,Kwun Tong,Leisure and Cultural Services Department,114.224,22.3172
Sai Tso Wan Recreation Ground,Playground,Kwun Tong,Leisure and Cultural Services Department,114.233,22.3046
Hiu Kwong Street Children's Playground,Playground,Kwun Tong,Leisure and Cultural Services Department,114.228,22.3203
Hiu Kwong Street Recreation Ground,Playground,Kwun Tong,Leisure and Cultural Services Department,114.231,22.317
