NAME,Type,District,Management,Long,Lat
Sheung Li Uk Garden Extenstion,Garden and Sitting-out Area,Sham Shui Po,Leisure and Cultural Services Department,114.162,22.3377
Osmanthus Road Rest Garden,Garden and Sitting-out Area,Sham Shui Po,Leisure and Cultural Services Department,114.173,22.3291
Wai Chi Street Rest Garden,Garden and Sitting-out Area,Sham Shui Po,Leisure and Cultural Services Department,114.167,22.3344
Nam Cheong Street Rest Garden,Garden and Sitting-out Area,Sham Shui Po,Leisure and Cultural Services Department,114.165,22.3411
Nam Cheong Street Sitting-out Area,Garden and Sitting-out Area,Sham Shui Po,Leisure and Cultural Services Department,114.164,22.3304
Tai Hang Tung Sitting-out Area,Garden and Sitting-out Area,Sham Shui Po,Leisure and Cultural Services Department,114.172,22.3277
Tai Hang Sai Street Sitting-out Area,Garden and Sitting-out Area,Sham Shui Po,Leisure and Cultural Services Department,114.17,22.3334
Tai Po Road Rest Garden,Garden and Sitting-out Area,Sham Shui Po,Leisure and Cultural Services Department,114.163,22.3338
Berwick Street Sitting-out Area,Garden and Sitting-out Area,Sham Shui Po,Leisure and Cultural Services Department,114.163,22.3341
Lei Cheung Uk Garden,Garden and Sitting-out Area,Sham Shui Po,Leisure and Cultural Services Department,114.16,22.3382
Wing Hong Street Rest Garden,Garden and Sitting-out Area,Sham Shui Po,Leisure and Cultural Services Department,114.151,22.3402
Hoi Lai Temporary Garden,Garden and Sitting-out Area,Sham Shui Po,Leisure and Cultural Services Department,114.145,22.3338
Han Garden,Garden and Sitting-out Area,Sham Shui Po,Hong Kong Housing Authority,114.16,22.3378
Magnolia Road Rest Garden,Garden and Sitting-out Area,Sham Shui Po,Leisure and Cultural Services Department,114.173,22.3301
King Lam Street Sitting-out Area,Garden and Sitting-out Area,Sham Shui Po,Leisure and Cultural Services Department,114.147,22.3392
Shek Kip Mei Street Rest Garden,Garden and Sitting-out Area,Sham Shui Po,Leisure and Cultural Services Department,114.164,22.3279
Fuk Wing Street Rest Garden,Garden and Sitting-out Area,Sham Shui Po,Leisure and Cultural Services Department,114.166,22.3294
Fuk Wah Street Rest Garden,Garden and Sitting-out Area,Sham Shui Po,Leisure and Cultural Services Department,114.167,22.3282
Lai Chi Kok Garden,Garden and Sitting-out Area,Sham Shui Po,Leisure and Cultural Services Department,114.139,22.338
Cheung Sha Wan Path Sitting-out Area,Garden and Sitting-out Area,Sham Shui Po,Leisure and Cultural Services Department,114.151,22.3381
Tseuk Kiu Street Sitting-out Area,Garden and Sitting-out Area,Sham Shui Po,Leisure and Cultural Services Department,114.176,22.3318
Castle Peak Road/Ching Cheung Road Rest Garden,Garden and Sitting-out Area,Sham Shui Po,Leisure and Cultural Services Department,114.142,22.3396
Castle Peak Road Sitting-out Area,Garden and Sitting-out Area,Sham Shui Po,Leisure and Cultural Services Department,114.142,22.3372
Beacon Lodge ground level,Garden and Sitting-out Area,Sham Shui Po,Private Owner,114.16,22.34
Vista ground level,Garden and Sitting-out Area,Sham Shui Po,Private Owner,114.16,22.333
Lung Cheung Road Lookout,Lookout,Sham Shui Po,Leisure and Cultural Services Department,114.171,22.3429
Nam Cheong Park,Park,Sham Shui Po,Leisure and Cultural Services Department,114.158,22.3238
Lei Cheng Uk Swimming Pool Rest Garden,Park,Sham Shui Po,Leisure and Cultural Services Department,114.161,22.3392
Cornwall Street Park,Park,Sham Shui Po,Leisure and Cultural Services Department,114.174,22.3392
Sham Shui Po Park,Park,Sham Shui Po,Leisure and Cultural Services Department,114.156,22.3306
Sham Shui Po Park (Stage 2),Park,Sham Shui Po,Leisure and Cultural Services Department,114.158,22.3325
Shek Kip Mei Park,Park,Sham Shui Po,Leisure and Cultural Services Department,114.171,22.3388
Fa Hui Park,Park,Sham Shui Po,Leisure and Cultural Services Department,114.174,22.3279
Lai Chi Kok Park,Park,Sham Shui Po,Leisure and Cultural Services Department,114.139,22.3345
Tung Chau Street Park,Park,Sham Shui Po,Leisure and Cultural Services Department,114.159,22.3255
Lai Chi Kok Park,Pet Garden,Sham Shui Po,Leisure and Cultural Services Department,114.139,22.3345
Butterfly Valley Road Pet Garden,Pet Garden,Sham Shui Po,Leisure and Cultural Services Department,114.145,22.3383
Po On Road Playground,Playground,Sham Shui Po,Leisure and Cultural Services Department,114.158,22.3394
Wai Chi Street Playground,Playground,Sham Shui Po,Leisure and Cultural Services Department,114.166,22.3344
Tai Hang Tung Recreation Ground,Playground,Sham Shui Po,Leisure and Cultural Services Department,114.171,22.328
Tai Hang Tung Estate Playground No. 1,Playground,Sham Shui Po,Leisure and Cultural Services Department,114.171,22.3298
Tai Hang Tung Estate Playground No. 2,Playground,Sham Shui Po,Leisure and Cultural Services Department,114.172,22.3339
Tai Po Road/Pak Tin Street Playground,Playground,Sham Shui Po,Leisure and Cultural Services Department,114.164,22.3334
Kwong Lee Road Playground,Playground,Sham Shui Po,Leisure and Cultural Services Department,114.16,22.3399
Lei Cheng Uk Playground,Playground,Sham Shui Po,Leisure and Cultural Services Department,114.161,22.3376
To Yuen Street Playground,Playground,Sham Shui Po,Leisure and Cultural Services Department,114.175,22.3351
Maple Street Playground,Playground,Sham Shui Po,Leisure and Cultural Services Department,114.165,22.3277
Poplar Street Children's Playground,Playground,Sham Shui Po,Leisure and Cultural Services Department,114.167,22.3272
Shek Kip Mei Central Playground,Playground,Sham Shui Po,Leisure and Cultural Services Department,114.169,22.3331
Shek Kip Mei Service Reservoir Playground,Playground,Sham Shui Po,Leisure and Cultural Services Department,114.166,22.341
Shek Ku Lung Road Playground,Playground,Sham Shui Po,Leisure and Cultural Services Department,114.194,22.3311
Hing Wah Street Playground,Playground,Sham Shui Po,Leisure and Cultural Services Department,114.155,22.3379
Cheung Sha Wan Playground,Playground,Sham Shui Po,Leisure and Cultural Services Department,114.154,22.3341
Cheung Sha Wan Road/Cheung Shun Street Playground,Playground,Sham Shui Po,Leisure and Cultural Services Department,114.146,22.3362
Shun Ning Road Recreation Ground,Playground,Sham Shui Po,Leisure and Cultural Services Department,114.16,22.3365
Po On Road Sports Centre,Sports Centre,Sham Shui Po,Leisure and Cultural Services Department,114.158,22.3384
Pei Ho Street Sports Centre,Sports Centre,Sham Shui Po,Leisure and Cultural Services Department,114.161,22.3295
Cornwall Street Squash & Table Tennis Centre,Sports Centre,Sham Shui Po,Leisure and Cultural Services Department,114.173,22.3392
Shek Kip Mei Park Sports Centre,Sports Centre,Sham Shui Po,Leisure and Cultural Services Department,114.17,22.3373
Lai Chi Kok Park Sports Centre,Sports Centre,Sham Shui Po,Leisure and Cultural Services Department,114.138,22.3407
Cheung Sha Wan Sports Centre,Sports Centre,Sham Shui Po,Leisure and Cultural Services Department,114.153,22.338
Sham Shui Po Sports Ground,Sports Ground,Sham Shui Po,Leisure and Cultural Services Department,114.152,22.337
Shek Kip Mei Park Tennis Court,Sports Ground,Sham Shui Po,Leisure and Cultural Services Department,114.17,22.3379
San Mei Street Basketball Court,Basketball Court,Shatin,Leisure and Cultural Services Department,114.194,22.3969
Sheung Wo Che Garden,Garden and Sitting-out Area,Shatin,Leisure and Cultural Services Department,114.19,22.3858
A Kung Kok Street Garden,Garden and Sitting-out Area,Shatin,Leisure and Cultural Services Department,114.222,22.4051
San Mei Street Sitting-out Area,Garden and Sitting-out Area,Shatin,Leisure and Cultural Services Department,114.195,22.3965
Kong Pui Street Rest Garden,Garden and Sitting-out Area,Shatin,Leisure and Cultural Services Department,114.197,22.3808
Hang Hong Street Garden,Garden and Sitting-out Area,Shatin,Leisure and Cultural Services Department,114.23,22.4176
San Tin Wai Garden,Garden and Sitting-out Area,Shatin,Leisure and Cultural Services Department,114.182,22.372
Lei Uk Tsuen Garden No. 1,Garden and Sitting-out Area,Shatin,Leisure and Cultural Services Department,114.185,22.374
Lei Uk Tsuen Garden No. 2,Garden and Sitting-out Area,Shatin,Leisure and Cultural Services Department,114.184,22.3742
Kwei Tei Street Garden,Garden and Sitting-out Area,Shatin,Leisure and Cultural Services Department,114.191,22.3999
Mui Tsz Lam Road Garden,Garden and Sitting-out Area,Shatin,Leisure and Cultural Services Department,114.227,22.401
Lok Fung Path Rest Garden,Garden and Sitting-out Area,Shatin,Leisure and Cultural Services Department,114.196,22.4014
Lok Lin Path Sitting-out Area,Garden and Sitting-out Area,Shatin,Leisure and Cultural Services Department,114.2,22.4007
Lek Yuen Street Rest Garden,Garden and Sitting-out Area,Shatin,Leisure and Cultural Services Department,114.192,22.3836
Wong Uk Garden,Garden and Sitting-out Area,Shatin,Leisure and Cultural Services Department,114.197,22.3829
Tin Sam Garden No. 1,Garden and Sitting-out Area,Shatin,Leisure and Cultural Services Department,114.178,22.3695
Tin Sam Garden No. 3,Garden and Sitting-out Area,Shatin,Leisure and Cultural Services Department,114.179,22.369
Tin Sam Garden No. 2,Garden and Sitting-out Area,Shatin,Leisure and Cultural Services Department,114.178,22.3691
Wo Liu Hang Rest Garden,Garden and Sitting-out Area,Shatin,Leisure and Cultural Services Department,114.198,22.3982
Chik Fu Street Rest Garden,Garden and Sitting-out Area,Shatin,Leisure and Cultural Services Department,114.179,22.3746
Chik Fuk Street Sitting-out Area,Garden and Sitting-out Area,Shatin,Leisure and Cultural Services Department,114.179,22.3763
On Yuen Street Garden,Garden and Sitting-out Area,Shatin,Leisure and Cultural Services Department,114.229,22.4243
On Shing Street Garden,Garden and Sitting-out Area,Shatin,Leisure and Cultural Services Department,114.232,22.4233
Ma Ying Path Rest Garden,Garden and Sitting-out Area,Shatin,Leisure and Cultural Services Department,114.204,22.4051
Ma Ling Path Rest Garden,Garden and Sitting-out Area,Shatin,Leisure and Cultural Services Department,114.21,22.4094
Wong Nai Tau Garden,Garden and Sitting-out Area,Shatin,Leisure and Cultural Services Department,114.218,22.3822
Castello Level 7,Garden and Sitting-out Area,Shatin,Private Owner,114.21,22.384
Royal Ascot Level 1,Garden and Sitting-out Area,Shatin,Private Owner,114.2,22.399
Sha Tin Racecourse - Penfold Park,Garden and Sitting-out Area,Shatin,Private Owner,114.21,22.399
Tai Po Road 10 M.S. Lookout No. 1,Lookout,Shatin,Leisure and Cultural Services Department,114.21,22.4105
Tai Po Road Look-out,Lookout,Shatin,Leisure and Cultural Services Department,114.162,22.3598
Ma On Shan Pavilion,Lookout,Shatin,Leisure and Cultural Services Department,114.233,22.4126
Yuen Chau Kok Park,Park,Shatin,Leisure and Cultural Services Department,114.2,22.3828
Shing Mun Valley Park,Park,Shatin,Leisure and Cultural Services Department,114.128,22.3764
On King Street Park,Park,Shatin,Leisure and Cultural Services Department,114.207,22.394
Tung Chung North Park,Park,Shatin,Leisure and Cultural Services Department,113.951,22.2918
Sha Tin Road Safety Park,Park,Shatin,Leisure and Cultural Services Department,114.196,22.3807
Sha Tin Park,Park,Shatin,Leisure and Cultural Services Department,114.188,22.3781
On Luk Street Park,Park,Shatin,Leisure and Cultural Services Department,114.231,22.4225
Ma On Shan Park,Park,Shatin,Leisure and Cultural Services Department,114.23,22.427
Tung Chung North Park,Pet Garden,Shatin,Leisure and Cultural Services Department,113.951,22.2918
Ma On Shan Sai Sha Road Pet Garden,Pet Garden,Shatin,Leisure and Cultural Services Department,114.225,22.4156
A Kung Kok Street Playground,Playground,Shatin,Leisure and Cultural Services Department,114.217,22.4016
Tai Wai Playground,Playground,Shatin,Leisure and Cultural Services Department,114.18,22.375
Siu Lek Yuen Road Playground,Playground,Shatin,Leisure and Cultural Services Department,114.205,22.3879
San Mei Street Children's Playground,Playground,Shatin,Leisure and Cultural Services Department,114.195,22.3962
San Mei Street Playground,Playground,Shatin,Leisure and Cultural Services Department,114.193,22.3977
Pei Tau Village Playground,Playground,Shatin,Leisure and Cultural Services Department,114.187,22.3848
Tsang Tai Uk Recreation Ground,Playground,Shatin,Leisure and Cultural Services Department,114.19,22.375
Lok Yuen Path Children's Playground,Playground,Shatin,Leisure and Cultural Services Department,114.199,22.4002
Sha Tin Wai Playground,Playground,Shatin,Leisure and Cultural Services Department,114.197,22.3778
Yuen Wo Playground,Playground,Shatin,Leisure and Cultural Services Department,114.195,22.3857
Wu Kai Sha Children's Playground,Playground,Shatin,Leisure and Cultural Services Department,114.239,22.4281
Ngau Pei Sha Street Playground,Playground,Shatin,Leisure and Cultural Services Department,114.206,22.3824
Shek Mun Playground,Playground,Shatin,Leisure and Cultural Services Department,114.207,22.392
Wo Liu Hang Playground,Playground,Shatin,Leisure and Cultural Services Department,114.197,22.3982
Hung Mui Kuk Road Playground,Playground,Shatin,Leisure and Cultural Services Department,114.179,22.3701
Che Kung Miu Road Playground,Playground,Shatin,Leisure and Cultural Services Department,114.176,22.3691
Kat Tin Children's Playground,Playground,Shatin,Leisure and Cultural Services Department,114.184,22.3672
Kak Tin Playground,Playground,Shatin,Leisure and Cultural Services Department,114.183,22.3683
Hin Tin Playground,Playground,Shatin,Leisure and Cultural Services Department,114.172,22.3653
Ma On Shan Recreation Ground,Playground,Shatin,Leisure and Cultural Services Department,114.228,22.4192
Chui Tin Street Soccer Pitch,Soccer Pitch,Shatin,Leisure and Cultural Services Department,114.182,22.373
Hang On Sports Centre,Sports Centre,Shatin,Leisure and Cultural Services Department,114.228,22.4167
Yuen Wo Road Sports Centre,Sports Centre,Shatin,Leisure and Cultural Services Department,114.193,22.3829
Mei Lam Sports Centre,Sports Centre,Shatin,Leisure and Cultural Services Department,114.176,22.3791
Hin Keng Sports Centre,Sports Centre,Shatin,Leisure and Cultural Services Department,114.171,22.3631
Ma On Shan Sports Centre,Sports Centre,Shatin,Leisure and Cultural Services Department,114.23,22.426
Sha Tin Jockey Club Public Squash Courts,Sports Ground,Shatin,Leisure and Cultural Services Department,114.194,22.3847
Sha Tin Sports Ground,Sports Ground,Shatin,Leisure and Cultural Services Department,114.197,22.3875
Ma On Shan Sports Ground,Sports Ground,Shatin,Leisure and Cultural Services Department,114.228,22.4209
Shing Mun River Promenade Garden No. 1,Waterfront,Shatin,Leisure and Cultural Services Department,114.19,22.3771
Shing Mun River Promenade Garden No. 3,Waterfront,Shatin,Leisure and Cultural Services Department,114.199,22.3919
Shing Mun River Promenade Garden No. 2,Waterfront,Shatin,Leisure and Cultural Services Department,114.202,22.3894
Pak Shek Kok Promenade,Waterfront,Shatin,Leisure and Cultural Services Department,114.208,22.4303
Ma On Shan Promenade,Waterfront,Shatin,Leisure and Cultural Services Department,114.224,22.4208
Aberdeen Boulder's Corner Rest Garden,Garden and Sitting-out Area,Southern,Leisure and Cultural Services Department,114.156,22.2472
Aberdeen Praya Road Sitting-out Area,Garden and Sitting-out Area,Southern,Leisure and Cultural Services Department,114.149,22.2488
Aberdeen Promenade,Waterfront,Southern,Leisure and Cultural Services Department,114.153,22.2476
Aberdeen Promenade,Waterfront,Southern,Leisure and Cultural Services Department,114.153,22.2476
Aberdeen Promenade,Waterfront,Southern,Leisure and Cultural Services Department,114.155,22.247
Aberdeen Promenade,Waterfront,Southern,Leisure and Cultural Services Department,114.155,22.247
Aberdeen Promenade,Waterfront,Southern,Leisure and Cultural Services Department,114.156,22.2468
Aberdeen Reservoir Road Garden,Garden and Sitting-out Area,Southern,Leisure and Cultural Services Department,114.156,22.2496
Aberdeen Reservoir Road Sitting-out Area,Garden and Sitting-out Area,Southern,Leisure and Cultural Services Department,114.156,22.25
Aberdeen Sports Centre,Sports Centre,Southern,Leisure and Cultural Services Department,114.154,22.2493
Aberdeen Sports Ground,Sports Ground,Southern,Leisure and Cultural Services Department,114.172,22.2494
Aberdeen Tennis and Squash Centre,Pet Garden,Southern,Leisure and Cultural Services Department,114.16,22.2475
Aberdeen Tennis and Squash Centre,Sports Ground,Southern,Leisure and Cultural Services Department,114.16,22.2475
Ap Lei Chau Main Street Temporary Sitting-out Area,Garden and Sitting-out Area,Southern,Leisure and Cultural Services Department,114.155,22.2438
Ap Lei Chau Park,Park,Southern,Leisure and Cultural Services Department,114.157,22.2451
Ap Lei Chau Service Reservoir Playground,Playground,Southern,Leisure and Cultural Services Department,114.156,22.24
Ap Lei Chau Sports Centre,Sports Centre,Southern,Leisure and Cultural Services Department,114.155,22.2445
Ap Lei Chau Waterfront Promenade,Pet Garden,Southern,Leisure and Cultural Services Department,114.156,22.2451
Ap Lei Chau Waterfront Promenade,Waterfront,Southern,Leisure and Cultural Services Department,114.156,22.2451
Ap Lei Chau Wind Tower Park,Park,Southern,Leisure and Cultural Services Department,114.151,22.2453
Apleichau Bridge (North) Children's Playground,Playground,Southern,Leisure and Cultural Services Department,114.161,22.2479
Big Wave Bay Beach,Beach,Southern,Leisure and Cultural Services Department,,
Bisney Road Children's Playground,Playground,Southern,Leisure and Cultural Services Department,114.127,22.2689
Chung Hom Kok Beach,Beach,Southern,Leisure and Cultural Services Department,,
Chung Hom Kok Beach Children's Playground,Playground,Southern,Leisure and Cultural Services Department,114.203,22.2169
Chung Hom Kok Park,Park,Southern,Leisure and Cultural Services Department,114.2,22.2141
Deep Water Bay Beach,Beach,Southern,Leisure and Cultural Services Department,,
Hairpin Beach,Beach,Southern,Leisure and Cultural Services Department,,
Heung Yip Road Sitting-out Area,Garden and Sitting-out Area,Southern,Leisure and Cultural Services Department,114.164,22.2477
Hong Fu Playground,Playground,Southern,Leisure and Cultural Services Department,114.135,22.2539
Hung Shing Street Rest Garden,Garden and Sitting-out Area,Southern,Leisure and Cultural Services Department,114.156,22.2449
Middle Bay Beach,Beach,Southern,Leisure and Cultural Services Department,,
Nam Fung Road Rest Garden,Garden and Sitting-out Area,Southern,Leisure and Cultural Services Department,114.181,22.2542
Nam Long Shan Road Rest Garden,Garden and Sitting-out Area,Southern,Leisure and Cultural Services Department,114.168,22.2382
Nam Ning Street Sitting-out Area,Garden and Sitting-out Area,Southern,Leisure and Cultural Services Department,114.154,22.2479
Old Main Street Rest Garden,Garden and Sitting-out Area,Southern,Leisure and Cultural Services Department,114.156,22.2474
Pokfulam Village Sitting-out Area No. 2,Garden and Sitting-out Area,Southern,Leisure and Cultural Services Department,114.137,22.2604
Repulse Bay Beach,Beach,Southern,Leisure and Cultural Services Department,,
Repulse Bay Beach Children's Playground,Playground,Southern,Leisure and Cultural Services Department,114.197,22.2363
Rocky Bay Beach,Beach,Southern,Leisure and Cultural Services Department,,
San Shi Street Sitting-out Area,Garden and Sitting-out Area,Southern,Leisure and Cultural Services Department,114.157,22.244
Sassoon Road Rest Garden,Garden and Sitting-out Area,Southern,Leisure and Cultural Services Department,114.13,22.2695
Shek O Beach,Beach,Southern,Leisure and Cultural Services Department,,
Shek O Beach Sitting-out Area,Garden and Sitting-out Area,Southern,Leisure and Cultural Services Department,114.252,22.2298
Shek O Road Lookout,Lookout,Southern,Leisure and Cultural Services Department,114.239,22.2282
Shek O Village Children's Playground,Playground,Southern,Leisure and Cultural Services Department,114.251,22.2311
Shek O Village Sitting-out Area,Garden and Sitting-out Area,Southern,Leisure and Cultural Services Department,114.252,22.23
Shek Pai Wan Estate Playground No.1,Playground,Southern,Leisure and Cultural Services Department,114.159,22.2494
Shek Pai Wan Road Amenity Plot,Garden and Sitting-out Area,Southern,Leisure and Cultural Services Department,114.149,22.2489
Shek Pai Wan Road Playground,Playground,Southern,Leisure and Cultural Services Department,114.147,22.2494
Shum Wan Road Sitting-out Area,Garden and Sitting-out Area,Southern,Leisure and Cultural Services Department,114.165,22.245
Sitting-out Area at Aberdeen Main Road/Ap Lei Chau,Garden and Sitting-out Area,Southern,Leisure and Cultural Services Department,114.16,22.2484
South Bay Beach,Beach,Southern,Leisure and Cultural Services Department,,
South Bay Road Rest Garden,Garden and Sitting-out Area,Southern,Leisure and Cultural Services Department,114.2,22.2387
Southern District San Wai Village Sitting-out Area,Garden and Sitting-out Area,Southern,Leisure and Cultural Services Department,114.177,22.2497
St. Stephen's Beach,Beach,Southern,Leisure and Cultural Services Department,,
Stanley Beach Road Children's Playground,Playground,Southern,Leisure and Cultural Services Department,114.213,22.2194
Stanley Beach Road Sitting-out Area,Garden and Sitting-out Area,Southern,Leisure and Cultural Services Department,114.214,22.2201
Stanley Main Beach,Beach,Southern,Leisure and Cultural Services Department,,
Stanley Market Road Sitting-out Area,Garden and Sitting-out Area,Southern,Leisure and Cultural Services Department,114.212,22.219
Stanley New Street/Stanley Village Road Sitting-out Area,Garden and Sitting-out Area,Southern,Leisure and Cultural Services Department,114.213,22.219
Stanley Promenade,Waterfront,Southern,Leisure and Cultural Services Department,114.212,22.2178
Stanley Sports Centre,Sports Centre,Southern,Leisure and Cultural Services Department,114.212,22.2192
Stanley Village Road Garden,Garden and Sitting-out Area,Southern,Leisure and Cultural Services Department,114.213,22.2192
Sun Pat Kan Sitting-out Area,Garden and Sitting-out Area,Southern,Leisure and Cultural Services Department,114.213,22.2168
Tin Wan Estate Playground,Playground,Southern,Leisure and Cultural Services Department,114.149,22.2508
Tin Wan Market Roof-top Children's Playground,Playground,Southern,Leisure and Cultural Services Department,114.148,22.2502
Turtle Cove Beach,Beach,Southern,Leisure and Cultural Services Department,,
Wah Chui Street Sitting-out Area,Garden and Sitting-out Area,Southern,Leisure and Cultural Services Department,114.137,22.2544
Tung Tsz Nursery Community Garden,Community Garden,Tai Po,Leisure and Cultural Services Department,114.209,22.4679
Ha Hang Village Sitting-out Area,Garden and Sitting-out Area,Tai Po,Leisure and Cultural Services Department,114.186,22.4625
Chuen On Road Garden,Garden and Sitting-out Area,Tai Po,Leisure and Cultural Services Department,114.173,22.4591
Nam Wan Road Sitting-out Area,Garden and Sitting-out Area,Tai Po,Leisure and Cultural Services Department,114.171,22.4498
Tolo Harbour Garden,Garden and Sitting-out Area,Tai Po,Leisure and Cultural Services Department,114.185,22.4408
Tai Po Contour Sitting-out Area,Garden and Sitting-out Area,Tai Po,Leisure and Cultural Services Department,114.171,22.4462
Tai Po Market Rest Garden,Garden and Sitting-out Area,Tai Po,Leisure and Cultural Services Department,114.165,22.4487
Tai Po Kau Garden,Garden and Sitting-out Area,Tai Po,Leisure and Cultural Services Department,114.186,22.4327
Po Heung Bridge Sitting-out Area,Garden and Sitting-out Area,Tai Po,Leisure and Cultural Services Department,114.168,22.4501
Shan Tong New Village Garden,Garden and Sitting-out Area,Tai Po,Leisure and Cultural Services Department,114.17,22.4405
Kwong Fuk Bridge Garden,Garden and Sitting-out Area,Tai Po,Leisure and Cultural Services Department,114.165,22.45
Man Mo Temple Garden,Garden and Sitting-out Area,Tai Po,Leisure and Cultural Services Department,114.164,22.449
She Shan Sitting-out Area,Garden and Sitting-out Area,Tai Po,Leisure and Cultural Services Department,114.144,22.45
Chui Lok Street Garden,Garden and Sitting-out Area,Tai Po,Leisure and Cultural Services Department,114.164,22.4531
Wan Tau Street Sitting-out Area,Garden and Sitting-out Area,Tai Po,Leisure and Cultural Services Department,114.169,22.4473
Wan Tau Kok Road Sitting-out Area,Garden and Sitting-out Area,Tai Po,Leisure and Cultural Services Department,114.169,22.4465
Ma Wo Sitting-out Area,Garden and Sitting-out Area,Tai Po,Leisure and Cultural Services Department,114.161,22.4427
Lung Mei Village Garden,Garden and Sitting-out Area,Tai Po,Leisure and Cultural Services Department,114.232,22.4737
Symphony Bay Villa Rhapsody ground level,Garden and Sitting-out Area,Tai Po,Private Owner,114.25,22.429
Soka Gakkai International of Hong Kong Cultural and Recreational Centre,Garden and Sitting-out Area,Tai Po,Private Owner,114.22,22.475
Yuen Chau Tsai Park,Park,Tai Po,Leisure and Cultural Services Department,114.177,22.4475
Tai Po Kau Park,Park,Tai Po,Leisure and Cultural Services Department,114.189,22.433
Yuen Shin Park,Park,Tai Po,Leisure and Cultural Services Department,114.177,22.4516
Kwong Fuk Park,Park,Tai Po,Leisure and Cultural Services Department,114.17,22.445
Kwong Fuk Park,Park,Tai Po,Leisure and Cultural Services Department,114.175,22.4455
Kwong Fuk Park,Pet Garden,Tai Po,Leisure and Cultural Services Department,114.17,22.445
Chung Nga Road Children's Playground,Pet Garden,Tai Po,Leisure and Cultural Services Department,114.17,22.4574
Sam Mun Tsai Children's Playground,Playground,Tai Po,Leisure and Cultural Services Department,114.214,22.4545
Chung Shum Wai Children's Playground,Playground,Tai Po,Leisure and Cultural Services Department,114.151,22.4687
Kau Lung Hang Playground,Playground,Tai Po,Leisure and Cultural Services Department,114.159,22.4807
Nam Wah Po Playground,Playground,Tai Po,Leisure and Cultural Services Department,114.152,22.4752
Wai Tau Tsuen Playground,Playground,Tai Po,Leisure and Cultural Services Department,114.146,22.4636
Ping Long Playground,Playground,Tai Po,Leisure and Cultural Services Department,114.132,22.4441
Tap Mun Playground,Playground,Tai Po,Leisure and Cultural Services Department,114.363,22.472
Tong Min Tsuen Playground,Playground,Tai Po,Leisure and Cultural Services Department,114.138,22.4527
Plover Cove Villagers’ Playground Tai Po,Playground,Tai Po,Leisure and Cultural Services Department,114.168,22.449
Tai Po Mei Children's Playground,Playground,Tai Po,Leisure and Cultural Services Department,114.199,22.4213
Tai Po Kau San Wai Playground,Playground,Tai Po,Leisure and Cultural Services Department,114.188,22.4354
Tai Po Old Market Playground,Playground,Tai Po,Leisure and Cultural Services Department,114.166,22.452
Tai Po Tau Playground,Playground,Tai Po,Leisure and Cultural Services Department,114.158,22.4543
Tai Om Children's Playground,Playground,Tai Po,Leisure and Cultural Services Department,114.133,22.4427
Chai Kek Children's Playground,Playground,Tai Po,Leisure and Cultural Services Department,114.129,22.4413
Fong Ma Po Children's Playground,Playground,Tai Po,Leisure and Cultural Services Department,114.142,22.4563
Mui Shue Hang Playground,Playground,Tai Po,Leisure and Cultural Services Department,114.153,22.4534
Yung Shue Tsuen Children's Playground,Playground,Tai Po,Leisure and Cultural Services Department,114.359,22.4686
Cheung Shue Tan Children's Playground,Playground,Tai Po,Leisure and Cultural Services Department,114.2,22.4263
Ting Tai Road Children's Playground,Playground,Tai Po,Leisure and Cultural Services Department,114.166,22.4548
Ting Kok Village Children's Playground,Playground,Tai Po,Leisure and Cultural Services Department,114.219,22.4732
Tai Hang Fui Sha Wai Playground,Playground,Tai Po,Leisure and Cultural Services Department,114.151,22.47
She Shan Tsuen Children's Playground,Playground,Tai Po,Leisure and Cultural Services Department,114.145,22.4506
Chi Tong Tsuen Children's Playground,Playground,Tai Po,Leisure and Cultural Services Department,114.149,22.4693
Shuen Wan Tung Tsz Children's Playground,Playground,Tai Po,Leisure and Cultural Services Department,114.208,22.4684
Chim Uk Village Children's Playground,Playground,Tai Po,Leisure and Cultural Services Department,114.208,22.4645
Wan Tau Kok Playground,Playground,Tai Po,Leisure and Cultural Services Department,114.169,22.4455
Kam Shek New Village Playground,Playground,Tai Po,Leisure and Cultural Services Department,114.159,22.4493
Chung Uk Tsuen Playground,Playground,Tai Po,Leisure and Cultural Services Department,114.141,22.4546
Chung Nga Road Children's Playground,Playground,Tai Po,Leisure and Cultural Services Department,114.17,22.4574
Fung Yuen Playground,Playground,Tai Po,Leisure and Cultural Services Department,114.18,22.4594
Wong Yue Tan Children's Playground,Playground,Tai Po,Leisure and Cultural Services Department,114.204,22.4632
Plover Cove Road Mini-Soccer Pitch,Soccer Pitch,Tai Po,Leisure and Cultural Services Department,114.171,22.4499
Kwong Fuk Football Ground,Soccer Pitch,Tai Po,Leisure and Cultural Services Department,114.171,22.4477
Tai Po Hui Sports Centre,Sports Centre,Tai Po,Leisure and Cultural Services Department,114.167,22.4462
Tai Po Sports Centre,Sports Centre,Tai Po,Leisure and Cultural Services Department,114.165,22.4554
Tai Wo Sports Centre,Sports Centre,Tai Po,Leisure and Cultural Services Department,114.161,22.4508
Fu Heng Sports Centre,Sports Centre,Tai Po,Leisure and Cultural Services Department,114.171,22.4581
Fu Shin Sports Centre,Sports Centre,Tai Po,Leisure and Cultural Services Department,114.175,22.4538
Tai Po Sports Ground,Sports Ground,Tai Po,Leisure and Cultural Services Department,114.162,22.4553
Tai Po Central Town Square,Square,Tai Po,Leisure and Cultural Services Department,114.169,22.4539
